text_object,containsMention_category,weekday_category
"stop calling justices like abc and kavanaugh “conservative” the justices are radical activists who are…",1,4
"rt just another normal bruno bucciarati tweet",1,4
"just so i get to see you do this<u+f>",1,4
"dinlicem <u+fd><u+ffb>",1,4
"rt d i vote ateez for worldwide fans’ choice mamavote",1,4
"tucker carlson’s hunter biden documents reportedly located",0,4
"i’m going to rest well i’m trying i keep getting sleep paralysis",0,4
"damn there’s fucking drill in that thing",1,4
"sylph aliens tonight",0,4
"in november the briggs family got the most dreadful call a parent can get their daughter colette then ½ y…",0,4
"rt in case anyone missed it now that it’s been deleted",1,4
"i fucked up the joke your bio says stan",1,4
"you see that even instagram misses your live stream niall you should think about it <u+fd>",1,4
"rt children watch and learn from adults they are currently learning how to intimidate others disregard rules and that it’s okay t…",1,4
" whole people liked that nonsense of a quote tweet",1,4
"that start up of the rs ’s are so sick will be awesome to see them ignite once again but this time it will be f…",0,4
"rt i just think that ahagses mamavote got",1,4
"rt you heard it here first boys don’t show her you like her for the first years <u+fc>",1,4
"win a years supply of portuguese wine courtesy of the wine show",0,4
"it is possible that joe biden will win and then he will be responsible for the country…",1,4
"rt tujoh <u+fc><u+d><u+><u+fc><u+d><u+><u+fc><u+d><u+><u+fc><u+d><u+> i’m voting for bts twt for favorite duo or group pop rock at the amas",1,4
"rt the coach and horses pub mayfair london <u+ff>",1,4
"jac brother <u+f>",1,4
"she’s so cute i love her",0,4
"madeinlagos favs just yet",0,4
"i agree <u+d><u+fef>",1,4
"rt c aoc ever run for president i’ll camp out at the polls like black friday lmao",1,4
"pediatric therapy emr software that brings your ppec practice and your occupational speech and physical therapy s…",0,4
"rt blank material",1,4
"rt scene exxtrashade defends the lvlup title against the returning of shade has been unbeatable in …",1,4
"trump is always angry he was born between third and home plate and yet whines that he had to take…",1,4
"rt very helpful thanks google",1,4
"rt it’s almost as if some people in wealthy ‘democratic’ nations have vested interests both ideological and material in the…",1,4
"might as well cut them last four dreads and get a comb over too",0,4
"i think the tls pretty active do u wanna do it like today dhgdgj",1,4
"evrryone",1,4
"rt <u+ab> <u+d> pls rt <u+> give away <u+ff><u+c> <u+fd><u+ffb><u+d><u+f> <u+> go go <u+> <u+f> follow <u+c><u+b> my insta rubyirisy <u+><u+a> dont<u+b> use<u+b> for<u+b> commercial <u+bf><u+a><u+c> <u+e><u+e><u+e>…",1,4
"rt “i’m on the move no be keke now everybody asking for me “ <u+f> madeinlagos",1,4
"rt capricorn horoscope obviously theres something wrong with you",1,4
"rt i’m voting nct for mama worldwide fans’ choice mamavote nct <u+fffc>",1,4
"rt can u handle this? <u+f><u+ffe><u+>",1,4
"rt “look at my african american” world tour featuring cent ice cube waka flocka flame lil wayne asian doll gunplay ce…",1,4
"not only are you a crook have no integrity but you runaway and hide at the thought…",1,4
"insanity is what doing the same thing again and expecting a different result?",1,4
"you can’t just take a random picture and then call them dark you need to take a picture with a go…",1,4
" jackson or herbert this week?",1,4
"rt gonzales hai future pres happy birthday continue to inspire people like you inspired us hoho we dont ha…",1,4
"rt @llu mil is literally soundman on steroids",1,4
"why a long term relationship with your advisor can help you build wealth",0,4
"have a nice day bighaa<u+fd>",1,4
"rt when the group chat is lit and you gotta get your joke in before the subject changes",1,4
"seventeen falling flower o seventeen flower que prefieren a",0,4
"if he’s looking for nurturing i feel i would be a good fit <u+fa>",1,4
"kinnie probably ? either way its fine i understand pat pat",1,4
"rt were putting together a game and need your help please complete this survey about what scares swingers the most",1,4
"rt sullivan looking for young actors playing age of authentically working class london kent essex please if you’re free…",1,4
"pain<u+f>",0,4
"all these nba city jerseys are so ugly",0,4
"seriously why is trump trying so hard to kill his base?",1,4
"rt mnoone something so softly stays between the silence and the touch that follows",1,4
"rt i send my love<u+><u+fef> to family colleagues clients friends and trading partners in france<u+feb><u+ff> love andy heppelle …",1,4
"rt breaking doj officials confirm hunter biden and his business associates are currently under active criminal investigat…",1,4
" deaths vs you do the math and…",1,4
"to be very clear this is not an endorsement and is also why i will never donate to my particular alma mater they have more than enough $",0,4
"and holiday",1,4
"yes south side of the street",1,4
"imagine being rick renteria today",0,4
"rt cold weather can shrink the eiffel tower by up to six inches",1,4
"it’s time to stop running your beautiful ads about mail in voting and tell people that have to…",1,4
" why do you niggas continue to be such a disappoint?",1,4
"help meeeee",0,4
"rt coraline ",1,4
"strauss was so unnecessarily annoying and had a weird hatred for hotch and gideon",0,4
"i used to watch you every weekno longer will i ever be able to tune into your program and believe anyt…",1,4
"till he find out what she saying about him <u+f><u+f><u+f>",0,4
"rt if mama don’t give any deserved awards to blackpink this december then they are just exposing themselves as rigged snakes…",1,4
"um so i have a spider in my bathroom ive been letting chill for awhile and it was sitting in the sink and i almost…",0,4
"baky dm official video via",1,4
"i am so tired",0,4
"rt beijing s son hunter is a disgrace to america",1,4
"not sure but it needs to happen",0,4
"morningg jam^^",1,4
"<u+f>it would be such a <u+fb><u+fd>treat if you could <u+b> play belikethat by for me<u+fb> thanks kbfamily kbvotingcrew",1,4
"dog guy till death cats are demons",1,4
"ppl don’t understand this",0,4
"ariyon it doesnt but from the beginning…",1,4
"ill give him the world building part too",1,4
"it truly is sad to see how far down old jake has gone he truly has lost all credibility",1,4
"lol hey wont you take a look into this? we can tell that is not the r…",1,4
"carry on these are good",1,4
" wrong timing mil is the shit",1,4
"b big a as p paws",1,4
" awesome",1,4
"rt our <u+><u+> spot from billings montana coronavirus special thanks to <u+><u+>",1,4
"rt donald trump has gotten $ million in subsidies for his real estate empire $ million of his debt canceled a $…",1,4
"rt my psychiatry practice usually has about % suicidal ideation si rate its currently at about % other colleagues…",1,4
"rt goal for antwerp refaelov <u+f> rafc thfc <u+aa>",1,4
"i dey lagos nowwizkid gbedu don jam me",1,4
"heard it was good <u+fc>",1,4
"rt hard to pick <u+f>",1,4
"ive been screamingggggg",1,4
"now you can just press and hold on the gif and tweet it yourself or save it i also dmed it to ya <u+f><u+f>",1,4
"rt congratulations to the inner circles on remaining undefeated with a win over brandoncalton at ht…",1,4
"rt this is my first ever voice note on twitter it probably is going to be the most important killsocialmediabill",1,4
"""we aint argue with no bitch about no dick when its billions of nighas that was born with the same shit"" i felt that",0,4
"we could have nobody together",0,4
"rt wow i love that switch in ginger mil",1,4
"rt lil wayne is endorsing trump but can’t even vote",1,4
"rt there are real vulnerabilities in some voting systems in fact my students and i discovered some of them theyre serious…",1,4
"rt our new group election battlegroundstate mipoll conducted oct shows a steady trump lead % @…",1,4
"rt islam says muslims shouldnt draw prophet muhammad if you believe that interpretation it doesnt say non muslims shouldn…",1,4
"rt doodley ",1,4
"tg for the woke white people on twitter how else would we know lil wayne is a racist",0,4
"rt jamkkanman i vote izone for worldwide fans choice mamavote izone",1,4
"u never disappoint <u+fe><u+fa>",1,4
"we all are praying ms gloria trust",1,4
"rt cnn so far today there have been daily new coronavirus cases in the united states per johns hopkins university data…",1,4
"the padagogy wheel it’s not about the apps it’s about the pedagogy via",1,4
"rt i like being single lol",1,4
"rt if walmarts sacrificin revenue over this we might oughta pay attention",1,4
