text_object,containsMention_category,weekday_category
"god yeah it’s tough to figure out listen to commands don’t try to kill them there’s the cli…",1,2
"berjemur dulu<u+fd> im voting for bts twt for favorite social artist at the amas",1,2
"i come from a long line of royalty according to my office",1,2
"you’ll believe this guy over natuonal security who said rudy and trump are back again with the rus…",1,2
" i love egg nog and coquito",1,2
"rt do you know how many judges are on the second circuit court? do you know how many judges are on the fifth circuit c…",1,2
"goodmorning",1,2
"rt global [kcontact season ] izone we could talk about how much we love izone for hours <u+b> kcon official",1,2
"rt forgive and move on it’s powerful it’s an act of kindness it’s the beginning of healing yet many refuse to do so prefer…",1,2
"hello new moots how are yall doing <u+fd><u+fd><u+fd><u+fd>",0,2
"freeze some and bring it to me i’ll cash app you",1,2
"did you hear my whisper in your ears every night when you close your eyes? says the mosquito<u+f>",0,2
"we <u+f> you post your best play on our app so more college coaches and fans can watch you ball out<u+faf><u+faa>your p…",1,2
"louisar ahh gars <u+fc>",1,2
"hey you recently got a big podcaster on your platform good for you hes entertaining that absolute hack…",1,2
"me fucking too",1,2
" degrees out and i’m still gonna walk over to this mans apartment <u+f>",0,2
"rt aye you must be new or something man we the best lmaoooooo",1,2
"thank you so much",1,2
"yup yeah thank you",1,2
"yall liked the song before you found out dixie was on it its good get over it stop being childish",0,2
"rt why is it “high fashion” when models show their breasts but distasteful from a woman like myself? i have high quality l…",1,2
"translation the crazy racist sexist conservatives dont want others to tell them they are wrong…",1,2
"a ver <u+f>",1,2
"all time tweet",0,2
"rt got this is got <u+f><u+f><u+f><u+f><u+f><u+f><u+f> got",1,2
"rt hi i am wearing my new favorite jacket",1,2
"focus",0,2
"rt a whole lot of people on the trump right media complex including and are acting desperate angry and bitter lets…",1,2
"rt breaking news ""a federal judge in south carolina ruled tuesday that the state can’t reject absentee ballots because of a s…",1,2
"lol that’s hilarious",1,2
"nailed it",1,2
"rt after weeks of multiple health screens and asking everyone to quarantine i surprised my closest inner circle with a trip…",1,2
"this honestly hit me hard in a good way i hope it gets better",1,2
"you keep one promise for a little while then you keep the more recent promise all promises are kept until their expiry date",1,2
"rt crown run away can’t you see me? blue hour",1,2
"i’m triggered when i see your face triggered when i hear your name triggered i am not okay you need to stay out my way",0,2
"rt like make a choice because it’s getting embarrassing out here",1,2
"rt how it started vs how it’s going",1,2
"rt you guys will never know the untapped comedy of no name brand items",1,2
"nowplaying ""janies got a gun"" by aerosmith on s mixed ~ tune in and catch the wave at…",0,2
"rt mamamoo [<u+bc><u+bc><u+bb>] th mini album [travel] <u+fe> aya <u+fe> <u+f> solo concept photo <u+f> <u+f> solar hwasa <u+f> pm release<u+> mamamoo <u+c><u+bc>…",1,2
"makes sense once hospitals reach capacity covid and regular patients cant be treated at all and…",1,2
"those you follow all think like youvisnt that a bit counter productive?",1,2
"rt <u+fc> trade evr on crex exchange <u+f> trading pairs <u+f> evr $btc <u+f> evr $eth <u+f> register at and st…",1,2
"xoxo never let them change you queen <u+a><u+ffe>",1,2
"i again suggest this only makes it a tool for opening and closing like a lever might be used to move a hea…",1,2
"rt bighit dear army the weather’s gotten a lot chilly i’m writing this because i wanted to know what army’s thinking and what you…",1,2
"rt meme police didn’t file fir a murder but lodging firs to employees know sources? someone pls slap me kassa ke par…",1,2
" years <u+f>",0,2
"rt chuu saying i love you to her parents and giving them kisses her parents are so lucky to have her <u+fa>",1,2
"rt mingi jonghos reaction lmfaooooo",1,2
"suspicious activity in the area<u+f>",1,2
"i feel like i’ve been at this dealership forfuckingever",0,2
"morninggg",1,2
"black lives still matter",0,2
"obviously the work of iranian backed venezuelan antifas",1,2
"rt why im voting green cont ive given years of my life to fighting the gop i quit the democratic party this year beca…",1,2
"great seminar really enjoyed it",1,2
"rt done in accounts fighting army i’m voting for bts twt for favourite duo or group pop rok a…",1,2
"rt journals in acute pulmonary embolism with intermediate high risk tapse pasp &lt was found to predict clinical deterioration at…",1,2
"i just had to explain this to someone recently and i was like",1,2
"rt don’t understand how democrats are so stupid doesn’t matter if you win the electoral college by a single vote you get…",1,2
"officially in love in twitter hoping im good and funny enough",0,2
"rt taking daaaaabs on snapchat come join you deserve some passive puffs <u+fd><u+fa> koalapuffs",1,2
"you and me both",1,2
"rt it’s go time folks we’re just one week away from the most important election of our lifetimes tune in as we get out the vo…",1,2
"i’m too <u+>young<u+>",1,2
"rt i cannot believe were going to be getting an anime version of this????????",1,2
" folks must owe that guy a favor",1,2
"rt scenes from inside <u+><u+> yep that’s a full sized fleury made of legos<u+fd><u+f><u+><u+>",1,2
"i’m teething my teeth hurt",0,2
"josh speaks out",0,2
